r,t,y,TotalCapacityAnnual
REGION,EGHF00P00X,2052, 3799962
REGION,EGHF00P00X,2053, 3899961
REGION,EGHF00P00X,2054, 3999960
REGION,EGHF00P00X,2055, 4099959
REGION,EGHF00P00X,2056, 4199958
REGION,EGHF00P00X,2057, 4299957
REGION,EGHF00P00X,2058, 4399956
REGION,EGHF00P00X,2059, 4499955
REGION,EGHF00P00X,2060, 4599954
REGION,EGHF00P00X,2061, 4699953
REGION,EGHF00P00X,2062, 4799952
REGION,EGHF00P00X,2063, 4899951
REGION,EGHF00P00X,2064, 4999950
REGION,EGHF00P00X,2065, 5099949
REGION,EGHF00P00X,2066, 5199948
REGION,EGHF00P00X,2067, 5299947
REGION,EGHF00P00X,2068, 5399946
REGION,EGHF00P00X,2069, 5499945
REGION,EGHF00P00X,2070, 5599944
REGION,EGNG00P00X,2015, 99999
REGION,EGNG00P00X,2016, 199998
REGION,EGNG00P00X,2017, 299997
REGION,EGNG00P00X,2018, 399996
REGION,EGNG00P00X,2019, 499995
REGION,EGNG00P00X,2020, 599994
REGION,EGNG00P00X,2021, 699993
REGION,EGNG00P00X,2022, 799992
REGION,EGNG00P00X,2023, 899991
REGION,EGNG00P00X,2024, 999990
REGION,EGNG00P00X,2025, 1099989
REGION,EGNG00P00X,2026, 1199988
REGION,EGNG00P00X,2027, 1299987
REGION,EGNG00P00X,2028, 1399986
REGION,EGNG00P00X,2029, 1499985
REGION,EGNG00P00X,2030, 1599984
REGION,EGNG00P00X,2031, 1699983
REGION,EGNG00P00X,2032, 1799982
REGION,EGNG00P00X,2033, 1899981
REGION,EGNG00P00X,2034, 1999980
REGION,EGNG00P00X,2035, 2099979
REGION,EGNG00P00X,2036, 2199978
REGION,EGNG00P00X,2037, 2299977
REGION,EGNG00P00X,2038, 2399976
REGION,EGNG00P00X,2039, 2499975
REGION,EGNG00P00X,2040, 2599974
REGION,EGNG00P00X,2041, 2699973
REGION,EGNG00P00X,2042, 2799972
REGION,EGNG00P00X,2043, 2899971
REGION,EGNG00P00X,2044, 2999970
REGION,EGNG00P00X,2045, 3099969
REGION,EGNG00P00X,2046, 3199968
REGION,EGNG00P00X,2047, 3299967
REGION,EGNG00P00X,2048, 3399966
REGION,EGNG00P00X,2049, 3499965
REGION,EGNG00P00X,2050, 3599964
REGION,EGNG00P00X,2051, 3699963
REGION,EGNG00P00X,2052, 3799962
REGION,EGNG00P00X,2053, 3899961
REGION,EGNG00P00X,2054, 3999960
REGION,EGNG00P00X,2055, 4099959
REGION,EGNG00P00X,2056, 4199958
REGION,EGNG00P00X,2057, 4299957
REGION,EGNG00P00X,2058, 4399956
REGION,EGNG00P00X,2059, 4499955
REGION,EGNG00P00X,2060, 4599954
REGION,EGNG00P00X,2061, 4699953
REGION,EGNG00P00X,2062, 4799952
REGION,EGNG00P00X,2063, 4899951
REGION,EGNG00P00X,2064, 4999950
REGION,EGNG00P00X,2065, 5099949
REGION,EGNG00P00X,2066, 5199948
REGION,EGNG00P00X,2067, 5299947
REGION,EGNG00P00X,2068, 5399946
REGION,EGNG00P00X,2069, 5499945
REGION,EGNG00P00X,2070, 5599944
REGION,EGBM00I00X,2015, 99999
REGION,EGBM00I00X,2016, 199998
REGION,EGBM00I00X,2017, 299997
REGION,EGBM00I00X,2018, 399996
REGION,EGBM00I00X,2019, 499995
REGION,EGBM00I00X,2020, 599994
REGION,EGBM00I00X,2021, 699993
REGION,EGBM00I00X,2022, 799992
REGION,EGBM00I00X,2023, 899991
REGION,EGBM00I00X,2024, 999990
REGION,EGBM00I00X,2025, 1099989
REGION,EGBM00I00X,2026, 1199988
REGION,EGBM00I00X,2027, 1299987
REGION,EGBM00I00X,2028, 1399986
REGION,EGBM00I00X,2029, 1499985
REGION,EGBM00I00X,2030, 1599984
REGION,EGBM00I00X,2031, 1699983
REGION,EGBM00I00X,2032, 1799982
REGION,EGBM00I00X,2033, 1899981
REGION,EGBM00I00X,2034, 1999980
REGION,EGBM00I00X,2035, 2099979
REGION,EGBM00I00X,2036, 2199978
REGION,EGBM00I00X,2037, 2299977
REGION,EGBM00I00X,2038, 2399976
REGION,EGBM00I00X,2039, 2499975
REGION,EGBM00I00X,2040, 2599974
REGION,EGBM00I00X,2041, 2699973
REGION,EGBM00I00X,2042, 2799972
REGION,EGBM00I00X,2043, 2899971
REGION,EGBM00I00X,2044, 2999970
REGION,EGBM00I00X,2045, 3099969
REGION,EGBM00I00X,2046, 3199968
REGION,EGBM00I00X,2047, 3299967
REGION,EGBM00I00X,2048, 3399966
REGION,EGBM00I00X,2049, 3499965
REGION,EGBM00I00X,2050, 3599964
REGION,EGBM00I00X,2051, 3699963
REGION,EGBM00I00X,2052, 3799962
REGION,EGBM00I00X,2053, 3899961
REGION,EGBM00I00X,2054, 3999960
REGION,EGBM00I00X,2055, 4099959
REGION,EGBM00I00X,2056, 4199958
REGION,EGBM00I00X,2057, 4299957
REGION,EGBM00I00X,2058, 4399956
REGION,EGBM00I00X,2059, 4499955
REGION,EGBM00I00X,2060, 4599954
REGION,EGBM00I00X,2061, 4699953
REGION,EGBM00I00X,2062, 4799952
REGION,EGBM00I00X,2063, 4899951
REGION,EGBM00I00X,2064, 4999950
REGION,EGBM00I00X,2065, 5099949
REGION,EGBM00I00X,2066, 5199948
REGION,EGBM00I00X,2067, 5299947
REGION,EGBM00I00X,2068, 5399946
REGION,EGBM00I00X,2069, 5499945
REGION,EGBM00I00X,2070, 5599944
REGION,EGBM00X00X,2015, 99999
REGION,EGBM00X00X,2016, 199998
REGION,EGBM00X00X,2017, 299997
REGION,EGBM00X00X,2018, 399996
REGION,EGBM00X00X,2019, 499995
REGION,EGBM00X00X,2020, 599994
REGION,EGBM00X00X,2021, 699993
REGION,EGBM00X00X,2022, 799992
REGION,EGBM00X00X,2023, 899991
REGION,EGBM00X00X,2024, 999990
REGION,EGBM00X00X,2025, 1099989
REGION,EGBM00X00X,2026, 1199988
REGION,EGBM00X00X,2027, 1299987
REGION,EGBM00X00X,2028, 1399986
REGION,EGBM00X00X,2029, 1499985
REGION,EGBM00X00X,2030, 1599984
REGION,EGBM00X00X,2031, 1699983
REGION,EGBM00X00X,2032, 1799982
REGION,EGBM00X00X,2033, 1899981
REGION,EGBM00X00X,2034, 1999980
REGION,EGBM00X00X,2035, 2099979
REGION,EGBM00X00X,2036, 2199978
REGION,EGBM00X00X,2037, 2299977
REGION,EGBM00X00X,2038, 2399976
REGION,EGBM00X00X,2039, 2499975
REGION,EGBM00X00X,2040, 2599974
REGION,EGBM00X00X,2041, 2699973
REGION,EGBM00X00X,2042, 2799972
REGION,EGBM00X00X,2043, 2899971
REGION,EGBM00X00X,2044, 2999970
REGION,EGBM00X00X,2045, 3099969
REGION,EGBM00X00X,2046, 3199968
REGION,EGBM00X00X,2047, 3299967
REGION,EGBM00X00X,2048, 3399966
REGION,EGBM00X00X,2049, 3499965
REGION,EGBM00X00X,2050, 3499965
REGION,EGBM00X00X,2051, 3499965
REGION,EGBM00X00X,2052, 3499965
REGION,EGBM00X00X,2053, 3499965
REGION,EGBM00X00X,2054, 3499965
REGION,EGBM00X00X,2055, 3499965
REGION,EGBM00X00X,2056, 3499965
REGION,EGBM00X00X,2057, 3499965
REGION,EGBM00X00X,2058, 3499965
REGION,EGBM00X00X,2059, 3499965
REGION,EGBM00X00X,2060, 3499965
REGION,EGBM00X00X,2061, 3499965
REGION,EGBM00X00X,2062, 3499965
REGION,EGBM00X00X,2063, 3499965
REGION,EGBM00X00X,2064, 3499965
REGION,EGBM00X00X,2065, 3499965
REGION,EGBM00X00X,2066, 3499965
REGION,EGBM00X00X,2067, 3499965
REGION,EGBM00X00X,2068, 3499965
REGION,EGBM00X00X,2069, 3499965
REGION,EGBM00X00X,2070, 3499965
REGION,EGCO00I00X,2015, 99999
REGION,EGCO00I00X,2016, 199998
REGION,EGCO00I00X,2017, 299997
REGION,EGCO00I00X,2018, 399996
REGION,EGCO00I00X,2019, 499995
REGION,EGCO00I00X,2020, 599994
REGION,EGCO00I00X,2021, 699993
REGION,EGCO00I00X,2022, 799992
REGION,EGCO00I00X,2023, 899991
REGION,EGCO00I00X,2024, 999990
REGION,EGCO00I00X,2025, 1099989
REGION,EGCO00I00X,2026, 1199988
REGION,EGCO00I00X,2027, 1299987
REGION,EGCO00I00X,2028, 1399986
REGION,EGCO00I00X,2029, 1499985
REGION,EGCO00I00X,2030, 1599984
REGION,EGCO00I00X,2031, 1699983
REGION,EGCO00I00X,2032, 1799982
REGION,EGCO00I00X,2033, 1899981
REGION,EGCO00I00X,2034, 1999980
REGION,EGCO00I00X,2035, 2099979
REGION,EGCO00I00X,2036, 2199978
REGION,EGCO00I00X,2037, 2299977
REGION,EGCO00I00X,2038, 2399976
REGION,EGCO00I00X,2039, 2499975
REGION,EGCO00I00X,2040, 2599974
REGION,EGCO00I00X,2041, 2699973
REGION,EGCO00I00X,2042, 2799972
REGION,EGCO00I00X,2043, 2899971
REGION,EGCO00I00X,2044, 2999970
REGION,EGCO00I00X,2045, 3099969
REGION,EGCO00I00X,2046, 3199968
REGION,EGCO00I00X,2047, 3299967
REGION,EGCO00I00X,2048, 3399966
REGION,EGCO00I00X,2049, 3499965
REGION,EGCO00I00X,2050, 3599964
REGION,EGCO00I00X,2051, 3699963
REGION,EGCO00I00X,2052, 3799962
REGION,EGCO00I00X,2053, 3899961
REGION,EGCO00I00X,2054, 3999960
REGION,EGCO00I00X,2055, 4099959
REGION,EGCO00I00X,2056, 4199958
REGION,EGCO00I00X,2057, 4299957
REGION,EGCO00I00X,2058, 4399956
REGION,EGCO00I00X,2059, 4499955
REGION,EGCO00I00X,2060, 4599954
REGION,EGCO00I00X,2061, 4699953
REGION,EGCO00I00X,2062, 4799952
REGION,EGCO00I00X,2063, 4899951
REGION,EGCO00I00X,2064, 4999950
REGION,EGCO00I00X,2065, 5099949
REGION,EGCO00I00X,2066, 5199948
REGION,EGCO00I00X,2067, 5299947
REGION,EGCO00I00X,2068, 5399946
REGION,EGCO00I00X,2069, 5499945
REGION,EGCO00I00X,2070, 5599944
REGION,EGCO00X00X,2015, 99999
REGION,EGCO00X00X,2016, 199998
REGION,EGCO00X00X,2017, 299997
REGION,EGCO00X00X,2018, 399996
REGION,EGCO00X00X,2019, 499995
REGION,EGCO00X00X,2020, 599994
REGION,EGCO00X00X,2021, 699993
REGION,EGCO00X00X,2022, 799992
REGION,EGCO00X00X,2023, 899991
REGION,EGCO00X00X,2024, 999990
REGION,EGCO00X00X,2025, 1099989
REGION,EGCO00X00X,2026, 1199988
REGION,EGCO00X00X,2027, 1199988
REGION,EGCO00X00X,2028, 1199988
REGION,EGCO00X00X,2029, 1199988
REGION,EGCO00X00X,2030, 1199988
REGION,EGCO00X00X,2031, 1199988
REGION,EGCO00X00X,2032, 1199988
REGION,EGCO00X00X,2033, 1199988
REGION,EGCO00X00X,2034, 1199988
REGION,EGCO00X00X,2035, 1199988
REGION,EGCO00X00X,2036, 1199988
REGION,EGCO00X00X,2037, 1199988
REGION,EGCO00X00X,2038, 1199988
REGION,EGCO00X00X,2039, 1199988
REGION,EGCO00X00X,2040, 1199988
REGION,EGCO00X00X,2041, 1199988
REGION,EGCO00X00X,2042, 1199988
REGION,EGCO00X00X,2043, 1199988
REGION,EGCO00X00X,2044, 1199988
REGION,EGCO00X00X,2045, 1199988
REGION,EGCO00X00X,2046, 1199988
REGION,EGCO00X00X,2047, 1199988
REGION,EGCO00X00X,2048, 1199988
REGION,EGCO00X00X,2049, 1199988
REGION,EGCO00X00X,2050, 1099989
REGION,EGCO00X00X,2051, 999990
REGION,EGCO00X00X,2052, 899991
REGION,EGCO00X00X,2053, 799992
REGION,EGCO00X00X,2054, 699993
REGION,EGCO00X00X,2055, 599994
REGION,EGCO00X00X,2056, 499995
REGION,EGCO00X00X,2057, 399996
REGION,EGCO00X00X,2058, 299997
REGION,EGCO00X00X,2059, 199998
REGION,EGCO00X00X,2060, 99999
REGION,EGLF00I00X,2015, 99999
REGION,EGLF00I00X,2016, 199998
REGION,EGLF00I00X,2017, 299997
REGION,EGLF00I00X,2018, 399996
REGION,EGLF00I00X,2019, 499995
REGION,EGLF00I00X,2020, 599994
REGION,EGLF00I00X,2021, 699993
REGION,EGLF00I00X,2022, 799992
REGION,EGLF00I00X,2023, 899991
REGION,EGLF00I00X,2024, 999990
REGION,EGLF00I00X,2025, 1099989
REGION,EGLF00I00X,2026, 1199988
REGION,EGLF00I00X,2027, 1299987
REGION,EGLF00I00X,2028, 1399986
REGION,EGLF00I00X,2029, 1499985
REGION,EGLF00I00X,2030, 1599984
REGION,EGLF00I00X,2031, 1699983
REGION,EGLF00I00X,2032, 1799982
REGION,EGLF00I00X,2033, 1899981
REGION,EGLF00I00X,2034, 1999980
REGION,EGLF00I00X,2035, 2099979
REGION,EGLF00I00X,2036, 2199978
REGION,EGLF00I00X,2037, 2299977
REGION,EGLF00I00X,2038, 2399976
REGION,EGLF00I00X,2039, 2499975
REGION,EGLF00I00X,2040, 2599974
REGION,EGLF00I00X,2041, 2699973
REGION,EGLF00I00X,2042, 2799972
REGION,EGLF00I00X,2043, 2899971
REGION,EGLF00I00X,2044, 2999970
REGION,EGLF00I00X,2045, 3099969
REGION,EGLF00I00X,2046, 3199968
REGION,EGLF00I00X,2047, 3299967
REGION,EGLF00I00X,2048, 3399966
REGION,EGLF00I00X,2049, 3499965
REGION,EGLF00I00X,2050, 3599964
REGION,EGLF00I00X,2051, 3699963
REGION,EGLF00I00X,2052, 3799962
REGION,EGLF00I00X,2053, 3899961
REGION,EGLF00I00X,2054, 3999960
REGION,EGLF00I00X,2055, 4099959
REGION,EGLF00I00X,2056, 4199958
REGION,EGLF00I00X,2057, 4299957
REGION,EGLF00I00X,2058, 4399956
REGION,EGLF00I00X,2059, 4499955
REGION,EGLF00I00X,2060, 4599954
REGION,EGLF00I00X,2061, 4699953
REGION,EGLF00I00X,2062, 4799952
REGION,EGLF00I00X,2063, 4899951
REGION,EGLF00I00X,2064, 4999950
REGION,EGLF00I00X,2065, 5099949
REGION,EGLF00I00X,2066, 5199948
REGION,EGLF00I00X,2067, 5299947
REGION,EGLF00I00X,2068, 5399946
REGION,EGLF00I00X,2069, 5499945
REGION,EGLF00I00X,2070, 5599944
REGION,EGHF00I00X,2015, 99999
REGION,EGHF00I00X,2016, 199998
REGION,EGHF00I00X,2017, 299997
REGION,EGHF00I00X,2018, 399996
REGION,EGHF00I00X,2019, 499995
REGION,EGHF00I00X,2020, 599994
REGION,EGHF00I00X,2021, 699993
REGION,EGHF00I00X,2022, 799992
REGION,EGHF00I00X,2023, 899991
REGION,EGHF00I00X,2024, 999990
REGION,EGHF00I00X,2025, 1099989
REGION,EGHF00I00X,2026, 1199988
REGION,EGHF00I00X,2027, 1299987
REGION,EGHF00I00X,2028, 1399986
REGION,EGHF00I00X,2029, 1499985
REGION,EGHF00I00X,2030, 1599984
REGION,EGHF00I00X,2031, 1699983
REGION,EGHF00I00X,2032, 1799982
REGION,EGHF00I00X,2033, 1899981
REGION,EGHF00I00X,2034, 1999980
REGION,EGHF00I00X,2035, 2099979
REGION,EGHF00I00X,2036, 2199978
REGION,EGHF00I00X,2037, 2299977
REGION,EGHF00I00X,2038, 2399976
REGION,EGHF00I00X,2039, 2499975
REGION,EGHF00I00X,2040, 2599974
REGION,EGHF00I00X,2041, 2699973
REGION,EGHF00I00X,2042, 2799972
REGION,EGHF00I00X,2043, 2899971
REGION,EGHF00I00X,2044, 2999970
REGION,EGHF00I00X,2045, 3099969
REGION,EGHF00I00X,2046, 3199968
REGION,EGHF00I00X,2047, 3299967
REGION,EGHF00I00X,2048, 3399966
REGION,EGHF00I00X,2049, 3499965
REGION,EGHF00I00X,2050, 3599964
REGION,EGHF00I00X,2051, 3699963
REGION,EGHF00I00X,2052, 3799962
REGION,EGHF00I00X,2053, 3899961
REGION,EGHF00I00X,2054, 3999960
REGION,EGHF00I00X,2055, 4099959
REGION,EGHF00I00X,2056, 4199958
REGION,EGHF00I00X,2057, 4299957
REGION,EGHF00I00X,2058, 4399956
REGION,EGHF00I00X,2059, 4499955
REGION,EGHF00I00X,2060, 4599954
REGION,EGHF00I00X,2061, 4699953
REGION,EGHF00I00X,2062, 4799952
REGION,EGHF00I00X,2063, 4899951
REGION,EGHF00I00X,2064, 4999950
REGION,EGHF00I00X,2065, 5099949
REGION,EGHF00I00X,2066, 5199948
REGION,EGHF00I00X,2067, 5299947
REGION,EGHF00I00X,2068, 5399946
REGION,EGHF00I00X,2069, 5499945
REGION,EGHF00I00X,2070, 5599944
REGION,EGCR00I00X,2015, 99999
REGION,EGCR00I00X,2016, 199998
REGION,EGCR00I00X,2017, 299997
REGION,EGCR00I00X,2018, 399996
REGION,EGCR00I00X,2019, 499995
REGION,EGCR00I00X,2020, 599994
REGION,EGCR00I00X,2021, 699993
REGION,EGCR00I00X,2022, 799992
REGION,EGCR00I00X,2023, 899991
REGION,EGCR00I00X,2024, 999990
REGION,EGCR00I00X,2025, 1099989
REGION,EGCR00I00X,2026, 1199988
REGION,EGCR00I00X,2027, 1299987
REGION,EGCR00I00X,2028, 1399986
REGION,EGCR00I00X,2029, 1499985
REGION,EGCR00I00X,2030, 1599984
